,Ids,Coordinates,CommonName,Line,ClosenessCentrality
61,940GZZLUEBY,"[-0.301457],[51.515017]",Ealing Broadway Underground Station,central,0.035701535166
62,940GZZLUEPG,"[0.113767],[51.69368]",Epping Underground Station,central,0.0219587176109
63,940GZZLUFLP,"[0.091004],[51.595618]",Fairlop Underground Station,central,0.0261005742126
64,940GZZLUGFD,"[-0.34605],[51.542424]",Greenford Underground Station,central,0.0323805505748
65,940GZZLUGGH,"[0.092066],[51.613378]",Grange Hill Underground Station,central,0.0247606470782
66,940GZZLUGTH,"[0.066185],[51.576544]",Gants Hill Underground Station,central,0.0304692260817
67,940GZZLUHBN,"[-0.120475],[51.51758]",Holborn Underground Station,central,0.0600841177649
68,940GZZLUHGR,"[-0.292704],[51.530177]",Hanger Lane Underground Station,central,0.0370191727963
69,940GZZLUHLT,"[0.093482],[51.603659]",Hainault Underground Station,central,0.023596035866
70,940GZZLUHPK,"[-0.205679],[51.507143]",Holland Park Underground Station,central,0.0511334583262
71,940GZZLULGN,"[0.055476],[51.641443]",Loughton Underground Station,central,0.0265839610102
72,940GZZLULGT,"[-0.175494],[51.511723]",Lancaster Gate Underground Station,central,0.0549954170486
73,940GZZLULVT,"[-0.083182],[51.517372]",Liverpool Street Underground Station,central,0.0538793103448
74,940GZZLULYN,"[-0.005523],[51.556589]",Leyton Underground Station,central,0.0387646982814
75,940GZZLULYS,"[0.008194],[51.568324]",Leytonstone Underground Station,central,0.0363812757701
76,940GZZLUMBA,"[-0.158953],[51.513424]",Marble Arch Underground Station,central,0.0593119810202
77,940GZZLUMED,"[-0.03364],[51.525122]",Mile End Underground Station,central,0.0458085203848
78,940GZZLUNAN,"[-0.259755],[51.523524]",North Acton Underground Station,central,0.0408163265306
79,940GZZLUNBP,"[0.090004],[51.575726]",Newbury Park Underground Station,central,0.0281452293836
80,940GZZLUNHG,"[-0.196104],[51.509128]",Notting Hill Gate Underground Station,central,0.0534950071327
81,940GZZLUNHT,"[-0.368699],[51.548236]",Northolt Underground Station,central,0.0304533280429
82,940GZZLUOXC,"[-0.141903],[51.515224]",Oxford Circus Underground Station,central,0.0619450753665
83,940GZZLUPVL,"[-0.323446],[51.536717]",Perivale Underground Station,central,0.0345526167698
84,940GZZLUQWY,"[-0.187152],[51.510312]",Queensway Underground Station,central,0.0544662309368
85,940GZZLURBG,"[0.04536],[51.576243]",Redbridge Underground Station,central,0.0312728030856
86,940GZZLURSG,"[-0.41071],[51.560736]",Ruislip Gardens Underground Station,central,0.0271825748185
87,940GZZLURVY,"[0.043647],[51.617199]",Roding Valley Underground Station,central,0.0282034408198
88,940GZZLUSBC,"[-0.218813],[51.504376]",Shepherd's Bush (Central) Underground Station,central,0.0491642084562
89,940GZZLUSNB,"[0.02144],[51.580678]",Snaresbrook Underground Station,central,0.0334485449883
90,940GZZLUSPU,"[-0.097567],[51.514936]",St. Paul's Underground Station,central,0.0550761887277
91,940GZZLUSRP,"[-0.398915],[51.556853]",South Ruislip Underground Station,central,0.0279344858963
92,940GZZLUSTD,"[-0.003458],[51.541806]",Stratford Underground Station,central,0.0415685187751
93,940GZZLUSWF,"[0.027338],[51.591907]",South Woodford Underground Station,central,0.0314366551399
94,940GZZLUTCR,"[-0.13041],[51.516426]",Tottenham Court Road Underground Station,central,0.0604351329573
95,940GZZLUTHB,"[0.103085],[51.671759]",Theydon Bois Underground Station,central,0.0229638701776
96,940GZZLUWCY,"[-0.224297],[51.511959]",White City Underground Station,central,0.0461325542058
97,940GZZLUWOF,"[0.03397],[51.606899]",Woodford Underground Station,central,0.0296413397886
98,940GZZLUWRP,"[-0.437886],[51.569688]",West Ruislip Underground Station,central,0.0257853183269
99,940GZZLUWSD,"[0.028527],[51.575501]",Wanstead Underground Station,central,0.0331162379954
100,940GZZLUWTA,"[-0.28098],[51.518001]",West Acton Underground Station,central,0.0374578599076
101,940GZZLUALD,"[-0.075689],[51.514246]",Aldgate Underground Station,metropolitan,0.0490677134446
102,940GZZLUAMS,"[-0.607714],[51.674126]",Amersham Underground Station,metropolitan,0.0176258587679
103,940GZZLUBBN,"[-0.097993],[51.520275]",Barbican Underground Station,metropolitan,0.0535427449581
104,940GZZLUBST,"[-0.15713],[51.522883]",Baker Street Underground Station,metropolitan,0.0594059405941
105,940GZZLUCAL,"[-0.560689],[51.667985]",Chalfont & Latimer Underground Station,metropolitan,0.0189593555031
106,940GZZLUCSM,"[-0.611247],[51.705208]",Chesham Underground Station,metropolitan,0.0159804570207
107,940GZZLUCXY,"[-0.441718],[51.647044]",Croxley Underground Station,metropolitan,0.272727272727
108,940GZZLUCYD,"[-0.518461],[51.654358]",Chorleywood Underground Station,metropolitan,0.0204990503635
109,940GZZLUEAE,"[-0.397373],[51.576506]",Eastcote Underground Station,metropolitan,0.0275052718438
110,940GZZLUESQ,"[-0.135829],[51.525604]",Euston Square Underground Station,metropolitan,0.0565610859729
111,940GZZLUFCN,"[-0.104913],[51.520252]",Farringdon Underground Station,metropolitan,0.0543379822496
112,940GZZLUFYR,"[-0.179845],[51.546825]",Finchley Road Underground Station,metropolitan,0.0501504513541
113,940GZZLUGPS,"[-0.144262],[51.52384]",Great Portland Street Underground Station,metropolitan,0.0572300648607
114,940GZZLUHGD,"[-0.449828],[51.553715]",Hillingdon Underground Station,metropolitan,0.0232234091965
115,940GZZLUHOH,"[-0.337225],[51.579195]",Harrow-on-the-Hill Underground Station,metropolitan,0.0340754202635
116,940GZZLUICK,"[-0.442001],[51.561992]",Ickenham Underground Station,metropolitan,0.0243269542653
117,940GZZLUKSX,"[-0.123194],[51.530663]",King's Cross St. Pancras Underground Station,metropolitan,0.0594766058684
118,940GZZLULVT,"[-0.083182],[51.517372]",Liverpool Street Underground Station,metropolitan,0.0538793103448
119,940GZZLUMGT,"[-0.088322],[51.518176]",Moorgate Underground Station,metropolitan,0.0543872371284
120,940GZZLUMPK,"[-0.432454],[51.629845]",Moor Park Underground Station,metropolitan,0.0247933884298
121,940GZZLUNHA,"[-0.362408],[51.584872]",North Harrow Underground Station,metropolitan,0.0306334886488
122,940GZZLUNKP,"[-0.318056],[51.578481]",Northwick Park Underground Station,metropolitan,0.0355534486845
123,940GZZLUNOW,"[-0.423829],[51.611053]",Northwood Underground Station,metropolitan,0.0260473741887
124,940GZZLUNWH,"[-0.409464],[51.600572]",Northwood Hills Underground Station,metropolitan,0.0274252241058
125,940GZZLUPNR,"[-0.381161],[51.592901]",Pinner Underground Station,metropolitan,0.0289461358314
126,940GZZLUPRD,"[-0.295107],[51.571972]",Preston Road Underground Station,metropolitan,0.0374438342486
127,940GZZLURKW,"[-0.473703],[51.640207]",Rickmansworth Underground Station,metropolitan,0.022808423814
128,940GZZLURSM,"[-0.412973],[51.573202]",Ruislip Manor Underground Station,metropolitan,0.0261620301735
129,940GZZLURSP,"[-0.421898],[51.571354]",Ruislip Underground Station,metropolitan,0.0255275697754
130,940GZZLURYL,"[-0.371127],[51.575147]",Rayners Lane Underground Station,metropolitan,0.0298062593145
131,940GZZLUUXB,"[-0.477949],[51.546565]",Uxbridge Underground Station,metropolitan,0.0222057735011
