,Latitude,Longitude
0,51.456261366,-0.458648067907
1,51.4564282463,-0.459029641879
2,51.4564696967,-0.459104533572
3,51.4565139949,-0.459190844632
4,51.4565574131,-0.459278624884
5,51.4565999512,-0.459367874326
6,51.4566407294,-0.459460061981
7,51.4566908742,-0.459580722396
8,51.4567411322,-0.459710015652
9,51.4567887314,-0.459842277492
10,51.4568345327,-0.459974600117
11,51.4568720363,-0.460091368836
12,51.4569104576,-0.460209546266
13,51.45694622,-0.460330692178
14,51.4569810835,-0.460451868525
15,51.4570132881,-0.460576013329
16,51.4570445937,-0.46070018855
17,51.4570732026,-0.460824454656
18,51.4570895219,-0.4609030732
19,51.4571154719,-0.461030307809
20,51.4571193317,-0.461050329729
21,51.457139624,-0.461157603028
22,51.4571610983,-0.461286427846
23,51.4571807937,-0.461416752018
24,51.4571995901,-0.461547106528
25,51.4572157086,-0.461678990589
26,51.4572500568,-0.462446483095
27,51.4573672265,-0.46363294433
28,51.4573735058,-0.46370038613
29,51.4574472074,-0.46452125987
30,51.4575244828,-0.465134739443
31,51.45767332,-0.465925749752
32,51.4576878194,-0.46600299269
33,51.457707133,-0.466104544556
34,51.4577264466,-0.466206096509
35,51.45774488,-0.466309117478
36,51.4577606168,-0.466412228918
37,51.4577746688,-0.46652403348
38,51.4577879535,-0.466645939838
39,51.4577994404,-0.466767906513
40,51.4578091483,-0.46689137229
41,51.4578112658,-0.466915771668
42,51.4578182582,-0.46703788906
43,51.4578243704,-0.467161475407
44,51.4578286848,-0.467285122012
45,51.4578303025,-0.467408858971
46,51.4578305515,-0.467840680217
47,51.4578346234,-0.468358739383
48,51.4578372926,-0.46856304938
49,51.4578374805,-0.468577437409
50,51.457837894,-0.468609091074
51,51.4578369233,-0.468672458574
52,51.4578364379,-0.468704142323
53,51.4578368513,-0.468735795989
54,51.4578381636,-0.468767419573
55,51.4578403748,-0.468799013077
56,51.4578434284,-0.468826260094
57,51.4578465384,-0.468857823525
58,51.4578514272,-0.468887887997
59,51.4578563349,-0.468919391279
60,51.4578621226,-0.468949425686
61,51.4578679103,-0.4689794601
62,51.4579299008,-0.469594903257
63,51.4580485104,-0.470621573734
64,51.4581746723,-0.471469506302
65,51.4581747098,-0.471472383933
