,,,Number of people in each PTAL level:,,,,,,,,,,0,1,2,3,4,5,6,7,8,
E05000056,High Barnet,Barnet,764,"2,139","3,663","4,239","3,784",694,24,0,0,"15,307",0.0,0.1,0.5,0.8,1.0,0.2,0.0,0.0,0.0,2.7
E05000057,Mill Hill,Barnet,45,"4,110","7,877","4,439",967,"1,016",0,0,0,"18,454",0.0,0.2,0.9,0.7,0.2,0.3,0.0,0.0,0.0,2.3
E05000058,Oakleigh,Barnet,0,0,"1,582","9,300","4,177",755,0,0,0,"15,814",0.0,0.0,0.2,1.8,1.1,0.2,0.0,0.0,0.0,3.3
E05000059,Totteridge,Barnet,63,"1,920","5,151","6,408",943,674,0,0,0,"15,159",0.0,0.1,0.7,1.3,0.2,0.2,0.0,0.0,0.0,2.5
E05000060,Underhill,Barnet,106,"1,362","8,396","2,368","2,278","1,305",99,0,0,"15,915",0.0,0.1,1.1,0.4,0.6,0.4,0.0,0.0,0.0,2.6
E05000061,West Finchley,Barnet,0,0,"1,246","6,096","6,703","2,389",99,0,0,"16,533",0.0,0.0,0.2,1.1,1.6,0.7,0.0,0.0,0.0,3.6
E05000062,West Hendon,Barnet,251,646,"1,416","5,445","6,467","2,983",193,0,0,"17,402",0.0,0.0,0.2,0.9,1.5,0.9,0.1,0.0,0.0,3.5
E05000063,Woodhouse,Barnet,0,478,"4,803","8,681","3,613",0,0,0,0,"17,575",0.0,0.0,0.5,1.5,0.8,0.0,0.0,0.0,0.0,2.9
E05000064,Barnehurst,Bexley,18,838,"3,005","2,325","2,800",968,442,23,0,"10,418",0.0,0.1,0.6,0.7,1.1,0.5,0.3,0.0,0.0,3.1
E05000065,Belvedere,Bexley,0,0,"5,139","4,554","2,197",0,0,0,0,"11,890",0.0,0.0,0.9,1.1,0.7,0.0,0.0,0.0,0.0,2.8
E05000066,Blackfen and Lamorbey,Bexley,0,"1,442","7,185","1,989",0,0,0,0,0,"10,616",0.0,0.1,1.4,0.6,0.0,0.0,0.0,0.0,0.0,2.1
E05000067,Blendon and Penhill,Bexley,0,936,"8,321","1,653",0,0,0,0,0,"10,910",0.0,0.1,1.5,0.5,0.0,0.0,0.0,0.0,0.0,2.1
E05000068,Brampton,Bexley,14,"1,143","4,049","2,506","2,821",13,0,0,0,"10,546",0.0,0.1,0.8,0.7,1.1,0.0,0.0,0.0,0.0,2.7
E05000069,Christchurch,Bexley,65,892,"2,794","2,012","1,881","2,468",831,23,0,"10,965",0.0,0.1,0.5,0.6,0.7,1.1,0.5,0.0,0.0,3.4
E05000070,Colyers,Bexley,0,"1,981","7,073",802,849,0,0,0,0,"10,706",0.0,0.2,1.3,0.2,0.3,0.0,0.0,0.0,0.0,2.0
E05000071,Crayford,Bexley,70,"3,775","3,354","3,537",490,0,0,0,0,"11,226",0.0,0.3,0.6,0.9,0.2,0.0,0.0,0.0,0.0,2.1
E05000072,Cray Meadows,Bexley,119,"3,316",760,"6,934",78,0,0,0,0,"11,207",0.0,0.3,0.1,1.9,0.0,0.0,0.0,0.0,0.0,2.3
E05000073,Danson Park,Bexley,120,"1,133","2,523","3,972","1,834","1,216",68,0,0,"10,864",0.0,0.1,0.5,1.1,0.7,0.6,0.0,0.0,0.0,2.9
E05000074,East Wickham,Bexley,0,595,"5,279","4,439",545,0,0,0,0,"10,858",0.0,0.1,1.0,1.2,0.2,0.0,0.0,0.0,0.0,2.5
E05000075,Erith,Bexley,0,843,"6,086","2,747","2,377",0,0,0,0,"12,053",0.0,0.1,1.0,0.7,0.8,0.0,0.0,0.0,0.0,2.6
E05000076,Falconwood and Welling,Bexley,0,"1,515","4,615","3,937",462,271,0,0,0,"10,800",0.0,0.1,0.9,1.1,0.2,0.1,0.0,0.0,0.0,2.4
E05000077,Lesnes Abbey,Bexley,0,78,"5,995","2,612","1,672",989,0,0,0,"11,346",0.0,0.0,1.1,0.7,0.6,0.4,0.0,0.0,0.0,2.8
E05000078,Longlands,Bexley,58,"1,011","5,061","1,466","2,070",778,0,0,0,"10,444",0.0,0.1,1.0,0.4,0.8,0.4,0.0,0.0,0.0,2.7
E05000079,North End,Bexley,407,"1,895","2,883","3,203","3,177",0,0,0,0,"11,566",0.0,0.2,0.5,0.8,1.1,0.0,0.0,0.0,0.0,2.6
E05000080,Northumberland Heath,Bexley,31,"1,683","5,669","3,168",47,0,0,0,0,"10,598",0.0,0.2,1.1,0.9,0.0,0.0,0.0,0.0,0.0,2.1
E05000081,St Mary's,Bexley,11,"1,678","2,404","4,484","1,914",0,0,0,0,"10,491",0.0,0.2,0.5,1.3,0.7,0.0,0.0,0.0,0.0,2.6
E05000082,St Michael's,Bexley,10,"1,781","6,097","2,822",425,0,0,0,0,"11,135",0.0,0.2,1.1,0.8,0.2,0.0,0.0,0.0,0.0,2.2
E05000083,Sidcup,Bexley,3,974,"2,078","3,527","2,157","2,105",0,0,0,"10,844",0.0,0.1,0.4,1.0,0.8,1.0,0.0,0.0,0.0,3.2
E05000084,Thamesmead East,Bexley,169,"1,199","3,352","6,355",940,79,0,0,0,"12,094",0.0,0.1,0.6,1.6,0.3,0.0,0.0,0.0,0.0,2.6
E05000085,Alperton,Brent,282,"2,911",954,"3,702","5,197",959,13,0,0,"14,017",0.0,0.2,0.1,0.8,1.5,0.3,0.0,0.0,0.0,3.0
E05000086,Barnhill,Brent,3,"1,577","3,314","6,124","3,153","1,307",294,0,0,"15,772",0.0,0.1,0.4,1.2,0.8,0.4,0.1,0.0,0.0,3.0
E05000087,Brondesbury Park,Brent,0,73,609,"4,301","6,012","1,365",662,0,0,"13,023",0.0,0.0,0.1,1.0,1.8,0.5,0.3,0.0,0.0,3.8
E05000088,Dollis Hill,Brent,0,407,"1,863","10,338",817,0,0,0,0,"13,425",0.0,0.0,0.3,2.3,0.2,0.0,0.0,0.0,0.0,2.9
E05000089,Dudden Hill,Brent,0,39,349,"8,887","4,509","1,275",0,0,0,"15,059",0.0,0.0,0.0,1.8,1.2,0.4,0.0,0.0,0.0,3.4
E05000090,Fryent,Brent,0,376,"2,106","10,206",736,22,0,0,0,"13,445",0.0,0.0,0.3,2.3,0.2,0.0,0.0,0.0,0.0,2.8
E05000091,Harlesden,Brent,123,724,"3,718","3,822","2,134","2,588","3,584",469,0,"17,162",0.0,0.0,0.4,0.7,0.5,0.8,1.3,0.2,0.0,3.8
E05000092,Kensal Green,Brent,0,0,"1,014","3,706","6,068","1,081","2,843",203,0,"14,915",0.0,0.0,0.1,0.7,1.6,0.4,1.1,0.1,0.0,4.1
